Curriculo Entrada;Periodo de Ingresso;Tipo de Evasao;Ingressantes;Evadidos;Taxa
2017;20212;CANCELADO REPROVOU TODAS POR FALTAS;2;1;50,00
2017;20212;CANCELAMENTO P SOLICITACAO ALUNO;1;0;0,00
2017;20212;CANCELAMENTO POR ABANDONO;20;8;40,00
2017;20212;REGULAR;64;0;0,00
2017;20221;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
2017;20221;CANCELADO REPROVOU TODAS POR FALTAS;3;3;100,00
2017;20221;CANCELAMENTO DE MATRICULA;1;0;0,00
2017;20221;CANCELAMENTO P SOLICITACAO ALUNO;4;1;25,00
2017;20221;CANCELAMENTO POR ABANDONO;7;1;14,29
2017;20221;REGULAR;71;0;0,00
2017;20222;CANCELADO 3 REPROV MESMA DISCIPLINA;2;0;0,00
2017;20222;CANCELADO REPROVOU TODAS POR FALTAS;4;0;0,00
2017;20222;CANCELAMENTO DE MATRICULA;1;0;0,00
2017;20222;CANCELAMENTO P SOLICITACAO ALUNO;4;0;0,00
2017;20222;CANCELAMENTO POR ABANDONO;6;1;16,67
2017;20222;REGULAR;70;0;0,00
